timestamp,search_id,nickname,city_code,check_in,check_out,rank,hotel_id,hotel_name,price,currency,room_type
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,1,ChoIlc_664zR8eSAARoNL2cvMTFjbjk2d19oahAB,ibis Styles Goa Calangute,24596.00,INR,★ 4.7
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,2,ChoIyIyKwdLHuK6aARoNL2cvMTFzcGcwMnA2eRAB,"Amadi Beach Front Resort , Goa | Best Beach Resort in Goa",29768.00,INR,★ 4.3
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChkIxdrD1oDIusgQGg0vZy8xMWNzcnI5aDV4EAE,Fairfield by Marriott Goa Calangute,45985.00,INR,★ 4.1
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,4,ChgIwaP9z9_GpeyGARoLL2cvMXZ6ZzBwbWcQAQ,Bogmallo Beach Resort - 5 Star Hotel in Goa,53808.00,INR,★ 4.1
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,5,ChoIie2RtLnbvubQARoNL2cvMTFyYnl5Y3lkeBAB,Radisson Resort Goa Baga,56050.00,INR,★ 4.9
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,6,ChoImf3xx9DdvLKKARoNL2cvMTFjbmM5cHh2aBAB,Radisson Blu Resort Goa Cavelossim Beach,78846.00,INR,★ 4.4
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,7,ChkIjrTBlZ7d-9XWARoML2cvMXE2ZDBmdl84EAE,Novotel Goa Resort & Spa,105846.00,INR,★ 4.6
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,8,ChoIkuWG9_r43pWmARoNL2cvMTFzZmIzOTdnbhAB,JW Marriott Goa,230690.00,INR,★ 4.6
2026-04-17T09:55:22Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,9,ChkIqJG68NHNguR9Gg0vZy8xMWJ0XzhwbDB2EAE,Novotel Goa Dona Sylvia Resort,269399.00,INR,★ 4.6
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,1,ChkIoqGM7cGn-dR5Gg0vZy8xMXJtcTZ2XzVfEAE,"The Fern Habitat, Jaipur",9756.00,INR,★ 4.5
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,2,ChgIr6iGrra-z74pGgwvZy8xMmNwY2R3bnIQAQ,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,9779.00,INR,★ 4.4
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,3,ChgI1un0382GlrJWGgwvZy8xaGh3cGwxZ2gQAQ,ibis Jaipur City Centre,10574.00,INR,★ 4.5
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,4,ChcI2YrBzJ2r6cIgGgsvZy8xdGZ6X2dfehAB,Rajasthan Palace - A Heritage Boutique Hotel in Jaipur,11315.00,INR,★ 4.6
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,5,ChcIysTI36u1nMAjGgsvZy8xdGRrM2tfZhAB,"The Fern Jaipur, Series by Marriott",11550.00,INR,★ 4.2
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,6,ChkIkajg_PD234bPARoML2cvMXE2M2NqZ19oEAE,WelcomHeritage Traditional Haveli,13230.00,INR,★ 4.6
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,7,ChcIwq6nyJSwxtpcGgsvZy8xdnM1djM2eRAB,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,14076.00,INR,★ 4.3
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,8,ChgIidumro69j6DvARoLL2cvMXRmNmYweDAQAQ,Jaipur Marriott Hotel,30088.00,INR,★ 4.5
2026-04-17T09:55:22Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,9,ChgIj6jnuOKj9a-jARoLL2cvMXRkNWRqY2wQAQ,The Lalit Jaipur,67258.00,INR,★ 4.3
